tag,count
commuter,11
deity,11
pea,11
post box,11
world map,11
maple tree,11
laundry room,11
low,11
cyclist,11
land,11
surgery,11
soil,11
war,11
golf ball,11
fruit stand,11
beetle,11
saxophone,11
kitchen table,11
strip,11
gather,11
reef,11
inscription,11
bookcase,11
water park,11
graveyard,10
stump,10
baseball uniform,10
bicyclist,10
pathway,10
awning,10
fruit salad,10
bud,10
textured,10
computer desk,10
icicle,10
knight,10
pedestal,10
pallet,10
cop,10
pavement,10
lobby,10
kitchen window,10
rock wall,10
craft,10
window seat,10
animation film,10
bedding,10
light fixture,10
accessory,10
banana tree,10
brochure,10
customer,10
business card,10
motorcyclist,10
prince,10
cardboard,10
warrior,10
retriever,10
pavilion,10
mount,10
rubble,10
water surface,10
stilt,10
casino,9
interview,9
pelican,9
various,9
baseball field,9
attraction,9
cell,9
microwave oven,9
beach ball,9
movie theater,9
dribble,9
ocean view,9
spire,9
store window,9
screen door,9
greenery,9
crack,9
celebration,9
create,9
railway track,9
weather,9
senior,9
coral,9
gadget,9
archway,9
display,9
tap,9
drain,9
deck chair,9
choir,9
cuisine,9
drug,9
gondola,9
facade,9
waiting room,9
salt,9
sleeping bag,9
christmas decoration,9
steam train,9
egret,9
ice rink,9
pottery,9
armchair,9
compete,9
sit around,9
sand castle,9
mosque,9
flare,9
shop window,9
graduation ceremony,9
garland,9
car door,8
cat bed,8
policeman,8
farmer,8
evening dress,8
flag pole,8
build,8
salt lake,8
twin,8
hall,8
coffee bean,8
tapestry,8
frosty,8
mess,8
dozen,8
flower bed,8
officer,8
end table,8
silverware,8
accordion,8
scientist,8
wool,8
chapel,8
runner,8
sport,8
bank,8
caterpillar,8
construction,8
staff,8
camper,8
dunk,8
puppy dog,8
nest,8
dahlia,8
watercolor,8
log cabin,8
eyelash,8
palace,8
medieval,8
bolt,8
needle,8
fjord,8
rice field,8
metal,8
plaque,8
mantle,8
family photo,8
nursery,8
rim,8
spider web,8
garlic,7
wetsuit,7
debris,7
cab,7
catwalk,7
bunk bed,7
cool,7
premiere,7
pebble,7
mountain landscape,7
mountain view,7
mane,7
wardrobe,7
toilet seat,7
installation,7
dishwasher,7
appetizer,7
tree trunk,7
shed,7
printer,7
hiker,7
glass building,7
birch tree,7
cupboard,7
compass,7
mound,7
cord,7
photography,7
crest,7
quiet,7
camouflage,7
steep,7
project picture,7
paddle,7
waiter,7
constellation,7
shopping mall,7
pharmacy,7
angle,7
marriage,7
acorn,7
punch,7
road trip,7
base,7
prayer,7
gas stove,7
telephone box,7
poster page,6
commercial,6
balance,6
water tower,6
dressing room,6
sea wall,6
street scene,6
list,6
cheetah,6
campus,6
wii controller,6
construction site,6
cardinal,6
silk,6
serve,6
pop artist,6
biplane,6
monument,6
shack,6
gold medal,6
appliance,6
shelter,6
concrete,6
iron,6
